id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
38546,Старовойтова Жанна Николаевна,Светлогорской районной организацией общественного объединения «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,3423
38547,Федоренко Светлана Васильевна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3423
38548,Филипчик Валентина Андреевна,Светлогорской районной организацией Белорусского Общества Красного Креста,0,5,NULL,,,,,,,,,,,3423
38549,Шабетник Любовь Анатольевна,гражданами путём подачи заявления,0,4000,5796,,,,,,,,,,,3423
38550,Шарапова Татьяна Григорьевна,Светлогорской районной организацией общественного объединения «Белорусский союз женщин»,0,8,8007,,,,,,,,,,,3423
38551,Захаренко Нина Васильевна,трудовым коллективом государственного учреждения образования «Дошкольный центр развития ребенка №1 г. Светлогорска»,1,NULL,11248,,,,,,,,«Дошкольный центр развития ребенка №1 г. Светлогорска»,,,3424
38552,Лаптева Наталья Николаевна,Светлогорской районной организацией Республиканского общественного объединения «Белая Русь»,2,4,NULL,,,,,,,,,,,3424
38553,Седько Светлана Николаевна,Светлогорской районной организацией Белорусского профессионального союза работников образования и науки,3,26,NULL,,,,,,,,,,,3424
38554,Веремейчик Ольга Васильевна,Светлогорской районной организацией общественного объединения «Белорусский республиканский союз молодежи»,0,11,NULL,,,,,,,,,,,3424
38555,Голубев Евгений Михайлович,Светлогорской районной организацией Коммунистической партии Беларуси,0,7,NULL,,,,,,,,,,,3424
38556,Дорощенко-Торянская Светлана Владимировна,Светлогорской районной организацией Белорусского Общества Красного Креста,0,5,NULL,,,,,,,,,,,3424
38557,Зеленок Елена Викторовна,Светлогорской районной организацией общественного объединения «Белорусский союз женщин»,0,8,NULL,,,,,,,,,,,3424
38558,Киселевская Светлана Петровна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3424
38559,Ковалёва Ольга Валентиновна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3424
38560,Кожевникова Екатерина Ивановна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3424
38561,Котковец Ирина Вячеславовна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3424
38562,Новикова Инна Михайловна,Светлогорской районной организацией Республиканской партии труда и справедливости,0,3,NULL,,,,,,,,,,,3424
38563,Пырх Галина Петровна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3424
