id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
40893,Бархат Людмила Владимировна,заявления граждан,0,4000,NULL,,,,,,,,,,,3629
40894,Брыш Елена Валерьяновна,Гродненской городской организацией Белорусского профессионального союза работников образования и науки,0,26,4927,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0131%20%D0%91%D1%80%D1%8B%D1%88%20%D0%95%D0%BB%D0%B5%D0%BD%D0%B0%20%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://gymn7grodno.schools.by/teacher/1049274,"ГУО ""Гимназия № 7 г. Гродно""",,,,,,,,3629
40895,Гаркавая Татьяна Ивановна,заявления граждан,0,4000,4927,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0131%20%D0%93%D0%B0%D1%80%D0%BA%D0%B0%D0%B2%D0%B0%D1%8F%20%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0%20%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://gymn7grodno.schools.by/teacher/1049275,"ГУО ""Гимназия № 7 г. Гродно""",,,,,,,,3629
40896,Климец Ольга Георгиевна,заявления граждан,0,4000,4927,,,,,,,,,,,3629
40897,Лавренков Андрей Васильевич,заявления граждан,0,4000,NULL,,,,,,,,,,,3629
40898,Мышко Мария Зеноновна,заявления граждан,0,4000,4927,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0131%20%D0%9C%D1%8B%D1%88%D0%BA%D0%BE%20%D0%9C%D0%B0%D1%80%D0%B8%D1%8F%20%D0%97%D0%B5%D0%BD%D0%BE%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://gymn7grodno.schools.by/teacher/1587646,"ГУО ""Гимназия № 7 г. Гродно""",,,,,,,,3629
40899,Пацкевич Инна Юльяновна,заявления граждан,0,4000,4927,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0131%20%D0%9F%D0%B0%D1%86%D0%BA%D0%B5%D0%B2%D0%B8%D1%87%20%D0%98%D0%BD%D0%BD%D0%B0%20%D0%AE%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://gymn7grodno.schools.by/teacher/1532784,"ГУО ""Гимназия № 7 г. Гродно""",,,,,,,,3629
40900,Романчук Елена Сергеевна,Октябрьской районной организацией Белорусского фонда мира,0,15,NULL,,,,,,,,,,,3629
40901,Симак Наталья Васильевна,Октябрьской районной организацией общественного объединения «Белорусский союз женщин» г.Гродно,0,8,4927,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0131%20%D0%A1%D0%B8%D0%BC%D0%B0%D0%BA%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%20%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://gymn7grodno.schools.by/teacher/1178864,"ГУО ""Гимназия № 7 г. Гродно""",,,,,,,,3629
40902,Солович Анна Леонидовна,заявления граждан,0,4000,4927,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0131%20%D0%A1%D0%BE%D0%BB%D0%BE%D0%B2%D0%B8%D1%87%20%D0%90%D0%BD%D0%BD%D0%B0%20%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://gymn7grodno.schools.by/teacher/1532782,"ГУО ""Гимназия № 7 г. Гродно""",,,,,,,,3629
40903,Букин Сергей Иванович,Октябрьской районной организацией г.Гродно Республиконского общественного объединения «Белая Русь»,1,4,NULL,,,,,,,,,,,3630
40904,Лелявко Игорь Александрович,Гродненской областной организоцией Белорусского профессионального союзо работников здравоохранения,2,25,NULL,,,,,,,,,,,3630
40905,Ковган Юлия Петровна,Октябрьской районной организацией фонда мира,3,15,11102,,,,,,,,,,,3630
40906,Климова Оксана Геннадьевна,собранием избирателей трудового коллектива психиатрического отделения (женского) УЗ «Гродненский областной клинический центр «Психиотрия - наркология»,0,NULL,11102,,,,,,,,«Гродненский областной клинический центр «Психиотрия - наркология»,,,3630
40907,Швобо Елена Николаевна,собранием избирателей трудового коллектива аппарата управления УЗ «Гродненский областной клинический центр «Психиатрия - наркология»,0,2036,11101,,,,,,,,«Гродненский областной клинический центр «Психиатрия - наркология»,,,3630
40908,Концеал Елена Владимидовна,"Гродненской городской организацией Белорусского профессионального союза работников образования и науки, путем подачи заявления граждан",1,4000,NULL,,,,,,,,,,,3631
40909,Павлють Ольга Викторовна,заявления граждан,2,4000,NULL,,,,,,,,,,,3631
40910,Добрук Алеся Васильевна,заявления граждан,3,4000,NULL,,,,,,,,,,,3631
40911,Добриян Алексей Алексадрович,Гродненской городской организацией Коммунистической партии Беларуси,0,7,NULL,,,,,,,,,,,3631
40912,Кедало Ольга Николаевна,Гродненской городской организацией общественного объединения «Белорусский республиканский союз молодежи»,0,11,NULL,,,,,,,,,,,3631
40913,Кныш Ольга Михайловна,Октябрьской районной г.Гродно организацией ветеранов Белорусского общественного объединения ветеранов,0,1,NULL,,,,,,,,,,,3631
40914,Косянчук Юлия Ивановна,Гродненской областной организацией Белорусского профессионального союза работников государственных и других учрежден,0,NULL,NULL,,,,,,,,,,,3631
